Date,Name,Amount,,,,
6/15/2023,LIM*RIDE COST  ,$4.63,LIM*RIDE,COST,,
6/16/2023,BUC-EE'S   ,$0.75,BUC-EE'S,,,
6/16/2023,ME-STAFFORD-ECOMM   ,$100.67,ME-STAFFORD-ECOMM,,,
6/17/2023,SQ *PEPPER LUNCH ,$10.27,SQ,*PEPPER,LUNCH,
6/17/2023,TACO BELL  ,$6.48,TACO,BELL,,
6/18/2023,BUC-EE'S   ,$1.18,BUC-EE'S,,,
6/20/2023,CHIPOTLE   ,$12.88,CHIPOTLE,,,
6/20/2023,H-E-B   ,$28.79,H-E-B,,,
6/27/2023,AMZN MKTP  ,$16.06,AMZN,MKTP,,
6/28/2023,UT H&F FOOD SERVICE,$5.95,UT,H&F,FOOD,SERVICE
6/29/2023,STAR CINEMA GRILL ,$14.00,STAR,CINEMA,GRILL,
6/29/2023,STAR CINEMA GRILL ,$42.00,STAR,CINEMA,GRILL,
7/1/2023,FIT CON  ,$10.83,FIT,CON,,
7/2/2023,NU CAFE  ,$5.95,NU,CAFE,,
7/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
7/4/2023,VISHALA GROCERY IV ,$7.98,VISHALA,GROCERY,IV,
7/4/2023,SHELL57543427603   ,$24.01,SHELL57543427603,,,
7/5/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
7/11/2023,H-E-B   ,$46.12,H-E-B,,,
7/12/2023,DRUM CORPS INTERNATION ,$378.65,DRUM,CORPS,INTERNATION,
7/14/2023,AMZN MKTP  ,$58.83,AMZN,MKTP,,
7/14/2023,SHELL57543433205 SUGAR  ,$45.13,SHELL57543433205,SUGAR,,
7/15/2023,TACO BELL  ,$9.29,TACO,BELL,,
7/16/2023,NASEEB INDIAN  ,$16.01,NASEEB,INDIAN,,
7/16/2023,RA SUSHI  ,$163.37,RA,SUSHI,,
7/17/2023,SHELL OIL  ,$34.90,SHELL,OIL,,
7/18/2023,H-E-B   ,$14.93,H-E-B,,,
7/20/2023,TUTTI FRUTTI  ,$7.04,TUTTI,FRUTTI,,
7/22/2023,HALAL BROS* HALAL BROS,$13.52,HALAL,BROS*,HALAL,BROS
7/22/2023,IM* REVOLUTION VEGAN K,$15.68,IM*,REVOLUTION,VEGAN,K
7/22/2023,AUSTIN BOULDERING PROJ ,$19.49,AUSTIN,BOULDERING,PROJ,
7/22/2023,BUC-EE'S   ,$1.18,BUC-EE'S,,,
7/22/2023,CHICHA   ,$7.31,CHICHA,,,
7/23/2023,ROSITAS AL PASTOR ,$10.80,ROSITAS,AL,PASTOR,
7/27/2023,HALAL BROS* HALAL BROS,$13.52,HALAL,BROS*,HALAL,BROS
7/28/2023,TAMHSC MED  ,$60.00,TAMHSC,MED,,
7/29/2023,GREYHOUND   ,$23.98,GREYHOUND,,,
7/29/2023,H-E-B   ,$11.75,H-E-B,,,
7/30/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
8/1/2023,CPP*FIT CONNECT  ,$10.83,CPP*FIT,CONNECT,,
8/2/2023,BPS*BILT REWARDS  ,$2.49,BPS*BILT,REWARDS,,
8/2/2023,BPS*BILT REWARDS  ,"$1,053.89",BPS*BILT,REWARDS,,
8/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
8/4/2023,SHELL OIL  ,$4.25,SHELL,OIL,,
8/5/2023,FIV*GONG CHA HOUSTON ,$6.22,FIV*GONG,CHA,HOUSTON,
8/7/2023,BUC-EE'S   ,$2.15,BUC-EE'S,,,
8/9/2023,BPS*BILT REWARDS  ,$2.49,BPS*BILT,REWARDS,,
8/9/2023,BPS*BILT REWARDS  ,$762.90,BPS*BILT,REWARDS,,
8/10/2023,CICIS PIZZA  ,$9.73,CICIS,PIZZA,,
8/10/2023,"GROUPON, INC.  ",$29.60,"GROUPON,",INC.,,
8/10/2023,SHELL OIL  ,$19.10,SHELL,OIL,,
8/15/2023,CPP*FIT CONNECT  ,$53.04,CPP*FIT,CONNECT,,
8/22/2023,FLIX   ,$23.98,FLIX,,,
8/24/2023,SQ *SHAKE SMART UNIVER,$8.93,SQ,*SHAKE,SMART,UNIVER
8/24/2023,TARGET   ,$12.59,TARGET,,,
8/29/2023,SQ *SHAKE SMART UNIVER,$8.93,SQ,*SHAKE,SMART,UNIVER
8/29/2023,H-E-B   ,$34.58,H-E-B,,,
9/1/2023,CPP*FIT CONNECT  ,$10.83,CPP*FIT,CONNECT,,
9/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
9/2/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
9/7/2023,SQ *SHAKE SMART UNIVER,$11.10,SQ,*SHAKE,SMART,UNIVER
9/8/2023,PAYPAL *REGIMEN INC ,$5.35,PAYPAL,*REGIMEN,INC,
9/10/2023,PAYPAL *TEMU  ,$15.93,PAYPAL,*TEMU,,
9/10/2023,UT RECSPORTS ECOMMERCE ,$80.00,UT,RECSPORTS,ECOMMERCE,
9/12/2023,TST* THE PIZZA PRESS,$12.88,TST*,THE,PIZZA,PRESS
9/13/2023,HALAL BROS* HALAL BROS,$18.39,HALAL,BROS*,HALAL,BROS
9/14/2023,SQ *SHAKE SMART UNIVER,$8.39,SQ,*SHAKE,SMART,UNIVER
9/22/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
9/24/2023,PAYPAL *G2ACOMLIMIT  ,$7.72,PAYPAL,*G2ACOMLIMIT,,
9/25/2023,AMZN Mktp  ,$10.81,AMZN,Mktp,,
9/29/2023,SONIC DRIVE IN#1531 ,$18.60,SONIC,DRIVE,IN#1531,
9/29/2023,SONIC SVC  ,$1.04,SONIC,SVC,,
10/1/2023,HALAL BROS* HALAL BROS,$14.06,HALAL,BROS*,HALAL,BROS
10/1/2023,APPFOLIO *REALTY GR ,"$1,176.85",APPFOLIO,*REALTY,GR,
10/2/2023,SPOTIFY   ,$17.31,SPOTIFY,,,
10/3/2023,PP*APPLE.COM/BILL   ,$10.81,PP*APPLE.COM/BILL,,,
10/6/2023,"GROUPON, INC.  ",$16.80,"GROUPON,",INC.,,
10/7/2023,BUC-EE'S   ,$2.15,BUC-EE'S,,,
10/7/2023,THE TEAHOUSE  ,$5.41,THE,TEAHOUSE,,
10/8/2023,TACO BELL  ,$8.00,TACO,BELL,,
10/8/2023,TROPICAL SMOOTHIE CAFE ,$7.46,TROPICAL,SMOOTHIE,CAFE,
10/8/2023,TROPICAL SMOOTHIE CAFE ,$8.11,TROPICAL,SMOOTHIE,CAFE,
10/9/2023,WASH KIOSK  ,$10.00,WASH,KIOSK,,
10/27/2023,Chilis   ,$10.27,Chilis,,,
