Date,Name,Amount
8/13/2022,SHELL57543427603   ,$25.00
8/15/2022,SPICE BAZAAR  ,$7.98
8/15/2022,FIT CON  ,$53.04
8/15/2022,EINSTEIN BROS  ,$18.39
8/15/2022,KROGER   ,$7.08
8/16/2022,RAKI   ,$12.00
8/17/2022,WALGREENS   ,$0.21
8/18/2022,TIGER DEN  ,$34.72
8/18/2022,TEATOPTX   ,$6.06
8/18/2022,WALGREENS   ,$11.32
8/20/2022,DOMINOS   ,$9.73
8/20/2022,DOMINOS   ,$10.81
8/20/2022,TORCHYS   ,$9.09
8/21/2022,H-E-B   ,$127.44
8/21/2022,TORCHYS   ,$18.10
8/23/2022,ZYBOOK COLLEGE TXTBOOK ,$83.35
8/26/2022,TST* THE PIZZA PRESS,$12.88
8/26/2022,WASH KIOSK  ,$10.00
9/2/2022,FIT CON  ,$10.83
9/2/2022,PAYPAL *SHEIN  ,$7.80
9/3/2022,TST* BIRD  ,$10.28
9/7/2022,FIV*GONG CHA DOBIE ,$10.00
9/8/2022,WASH KIOSK  ,$10.00
9/9/2022,SQ *SHAKE SMART UNIVER,$6.77
9/14/2022,CHIPOTLE   ,$8.61
9/18/2022,SQ *BENNU COFFEE ,$6.77
9/19/2022,TST* JUICELAND  ,$12.39
9/21/2022,"SQ *SHAKE SMART, INC.",$1.62
9/21/2022,"SQ *SHAKE SMART, INC.",$6.77
9/23/2022,EINSTEIN BROS  ,$4.09
9/24/2022,H-E-B   ,$3.28
9/25/2022,SHELL57543427603   ,$21.33
9/27/2022,TST* COOKBOOK  ,$10.82
9/28/2022,CHIPOTLE   ,$8.61
9/29/2022,SQ *PATRIZI'S  ,$15.07
9/29/2022,STARBUCKS STORE  ,$5.68
10/1/2022,LYFT   ,$2.00
10/1/2022,LYFT   ,$16.80
10/1/2022,SQ *AUSTIN- HOUNDSTOOT ,$5.79
10/2/2022,SPOTIFY   ,$17.31
10/5/2022,CHIPOTLE   ,$8.61
10/7/2022,WASH KIOSK  ,$15.00
10/9/2022,H-E-B   ,$44.65
10/11/2022,TST* CABO  ,$8.39
10/12/2022,CHIPOTLE   ,$8.82
10/13/2022,UT RECSPORTS ECOMMERCE ,$75.00
10/14/2022,SQ *SHAKE SMART UNIVER,$8.12
10/14/2022,SP NOGSUPPLY  ,$50.98
10/14/2022,TST* TACO JOINT ,$11.37
10/16/2022,PAYPAL *SKILLSHARE  ,$131.00
10/16/2022,SQ *ATX GYRO ,$12.98
10/16/2022,TST* SA-TEN COFFEE ,$5.41
10/17/2022,H-E-B   ,$5.18
10/17/2022,H-E-B   ,$22.00
10/18/2022,TST* CABO  ,$8.39
10/20/2022,"SQ *SHAKE SMART, INC.",$7.31
10/20/2022,SQ *ATX GYRO ,$12.98
10/23/2022,AMZN MKTP  ,$13.61
10/23/2022,BUC-EE'S   ,$7.55
10/23/2022,BUC-EE'S   ,$17.81
10/23/2022,WINGSTOP   ,$14.71
10/25/2022,GLORIAS RESTAURANT  ,$20.00
10/26/2022,UT H&F FOOD SERVICE,$4.93
10/28/2022,UT H&F FOOD SERVICE,$3.52
10/28/2022,GWCTX   ,$33.95
10/29/2022,H-E-B   ,$19.46
10/29/2022,TST* SA-TEN COFFEE ,$16.24
10/30/2022,SQ *DOLLAR SLICE CLUB,$7.58
10/30/2022,SQ *BENNU COFFEE ,$5.95
11/2/2022,SPOTIFY   ,$17.31
11/3/2022,TST* COOKBOOK  ,$16.23
11/6/2022,WASH KIOSK  ,$10.00
11/11/2022,SNACK* MOGE TEE ,$7.56
11/12/2022,H-E-B   ,$42.25
11/12/2022,TST* TYSONS TACOS ,$10.40
11/14/2022,"SQ *SHAKE SMART, INC.",$8.12
11/15/2022,PAYPAL *REGIMEN INC ,$7.96
11/19/2022,HITCH   ,$51.00
11/19/2022,STARBUCKS STORE  ,$4.82
11/25/2022,RUE21   ,$82.42
11/30/2022,SQ *MEDICI ROASTING SH,$5.33
11/30/2022,CHIPOTLE   ,$11.64
12/2/2022,FIT CON  ,$10.83
12/2/2022,SPOTIFY   ,$17.31
12/3/2022,TORCHYS NORTHSHORE  ,$15.75
12/4/2022,TST* COOKBOOK  ,$4.33
12/6/2022,H-E-B   ,$28.40
12/7/2022,TST* PATIKA  ,$13.47
12/8/2022,TARGET   ,$10.81
12/9/2022,TARGET   ,$15.58
12/11/2022,TORCHYS   ,$15.75
12/13/2022,TACO BELL  ,$33.27
12/13/2022,WASH KIOSK  ,$10.00
12/14/2022,HAPPY LEMON  ,$7.74
12/15/2022,MACYS   ,$121.24
12/16/2022,SQ *TOUT SUITE ,$3.25
12/26/2022,FIV*GONG CHA  ,$15.56
12/26/2022,GROUPON INC  ,$56.99
12/26/2022,TJMAXX   ,$102.81
12/26/2022,VIOC   ,$2.79
12/28/2022,PAYPAL *REGIMEN INC ,$98.95
12/28/2022,TACO BELL  ,$2.59
12/28/2022,WINGSTOP   ,$8.65
12/29/2022,PAYPAL *GROUPON INC ,$28.00
12/29/2022,THE TEAHOUSE  ,$23.42
1/1/2023,FIT CON  ,$10.83
1/2/2023,SPOTIFY   ,$17.31
1/2/2023,THE TEAHOUSE  ,$5.14
1/4/2023,THE TEAHOUSE  ,$4.33
1/5/2023,BOBA   ,$6.12
1/9/2023,SHELL57543427603   ,$25.74
1/10/2023,BURGER KING  ,$7.03
1/10/2023,THE TEAHOUSE  ,$16.53
1/12/2023,KROGER   ,$15.81
1/12/2023,THE BEP TEAHOUSE ,$13.08
1/16/2023,BUC-EE'S   ,$7.29
1/17/2023,PAYPAL *PLAYSTATION  ,$64.94
1/18/2023,H-E-B   ,$33.21
1/21/2023,LAS CAZUELAS MEXICAN RES,$13.50
1/21/2023,SQ *BENNU COFFEE ,$5.95
1/22/2023,PAYPAL *REGIMEN INC ,$72.58
1/22/2023,TACO BELL  ,$7.24
1/26/2023,COSTCO WHSE  ,$102.90
1/27/2023,UT H&F FOOD SERVICE,$2.91
1/28/2023,TWIN LIQUORS  ,$33.54
1/29/2023,TST* THE PIZZA PRESS,$14.66
1/29/2023,WASH KIOSK  ,$10.00
2/2/2023,SPOTIFY   ,$17.31
2/2/2023,TARGET   ,$14.06
2/2/2023,TST* SALATA  ,$24.65
2/3/2023,LONGHORN RUN  ,$44.10
2/5/2023,AMC   ,$34.81
2/6/2023,H-E-B   ,$18.71
2/6/2023,TORCHYS   ,$15.75
2/8/2023,SQ *SHAKE SMART UNIVER,$8.12
2/9/2023,CAVA   ,$14.99
2/10/2023,7-ELEVEN   ,$44.74
2/10/2023,BJJHQ.COM GARNERVILLE NY ,$44.00
2/10/2023,FIV*GONG CHA DOBIE ,$7.00
2/12/2023,PP*DUTCHBROSLL   ,$13.21
2/15/2023,UT H&F FOOD SERVICE,$2.91
2/15/2023,AMZN MKTP  ,$15.28
2/15/2023,SNACK* MOGE TEE ,$16.63
2/15/2023,TST* PINTHOUSE PIZZA ,$9.74
2/19/2023,H-E-B   ,$30.22
2/20/2023,GWCTX1252   ,$11.00
2/22/2023,SQ *SHAKE SMART UNIVER,$8.12
2/22/2023,FIV*GONG CHA DOBIE ,$6.25
2/24/2023,UT H&F FOOD SERVICE,$2.91
2/25/2023,CVS/PHARMACY   ,$33.16
2/25/2023,MAGGIANOS   ,$23.00
2/25/2023,SQ *PALOMINO  ,$5.95
2/25/2023,WASH KIOSK  ,$10.00
2/26/2023,FEDEX OFFIC00001222069  ,$16.18
2/26/2023,SQ *BENNU COFFEE ,$5.14
2/28/2023,H-E-B   ,$46.86
3/1/2023,UT RECSPORTS ECOMMERCE ,$75.00
3/2/2023,SPOTIFY   ,$17.31
3/2/2023,SQ *DIMASSI?S SOUTH ,$17.31
3/2/2023,TARGET   ,$17.64
3/3/2023,EINSTEIN BROS  ,$5.20
3/3/2023,FIV*GONG CHA DOBIE ,$13.00
3/6/2023,PP*APPLE.COM/BILL   ,$10.81
3/7/2023,TARGET   ,$7.79
3/8/2023,UT H&F FOOD SERVICE,$2.91
3/11/2023,BUC-EE'S   ,$1.09
3/12/2023,THE TEAHOUSE  ,$7.40
3/13/2023,PAYPAL *GROUPON INC ,$23.20
3/13/2023,TACO BELL  ,$32.00
3/15/2023,SQ *ALPHA DESSERT JUIC,$10.03
3/15/2023,COSMO FOODS LLC ,$10.83
3/15/2023,SHARETEA   ,$12.99
3/15/2023,SHELL57543427603   ,$24.70
3/18/2023,TIGER DEN  ,$69.00
3/18/2023,GONG CHA-HOUSTON STORE ,$5.68
3/18/2023,SHARETEA   ,$6.50
3/19/2023,BAHAMA MAMA SMOKE SHOP,$16.23
3/19/2023,BUC-EE'S   ,$1.09
3/21/2023,H-E-B   ,$14.46
3/22/2023,UT H&F FOOD SERVICE,$2.91
3/27/2023,WASH KIOSK  ,$10.00
3/28/2023,H-E-B   ,$34.84
3/29/2023,UT H&F FOOD SERVICE,$5.82
4/1/2023,FIT CON  ,$10.83
4/2/2023,SPOTIFY   ,$17.31
4/4/2023,H-E-B   ,$38.35
